 # kx  ky  kz  weight_on_fermi
    0.000000    0.000000    0.000000    0.00000000
    0.000000    0.009623    0.000000    0.00000000
    0.000000    0.019245    0.000000    0.00000000
    0.000000    0.028868    0.000000    0.00000000
    0.000000    0.038490    0.000000    0.00000000
    0.000000    0.048113    0.000000    0.00000000
    0.000000    0.057735    0.000000    0.00000000
    0.000000    0.067358    0.000000    0.00000000
    0.000000    0.076980    0.000000    0.00000000
    0.000000    0.086603    0.000000    0.00000000
    0.000000    0.096225    0.000000    0.00000000
    0.000000    0.105848    0.000000    0.00000000
    0.000000    0.115470    0.000000    0.00000000
    0.000000    0.125093    0.000000    0.00000000
    0.000000    0.134715    0.000000    0.00000000
    0.000000    0.144338    0.000000    0.00000000
    0.000000    0.153960    0.000000    0.00000000
    0.000000    0.163583    0.000000    0.00000000
    0.000000    0.173205    0.000000    0.00000000
    0.000000    0.182828    0.000000    0.00000000
    0.000000    0.192450    0.000000    0.00000000
    0.000000    0.202073    0.000000    0.00000000
    0.000000    0.211695    0.000000    0.00000000
    0.000000    0.221318    0.000000    0.72075827
    0.000000    0.230940    0.000000    3.19028410
    0.000000    0.240563    0.000000   10.23154653
    0.000000    0.250185    0.000000   10.53057790
    0.000000    0.259808    0.000000    3.10857026
    0.000000    0.269430    0.000000    1.26940895
    0.000000    0.279053    0.000000    4.82184291
    0.000000    0.288675    0.000000   12.46226362
    0.000000    0.298298    0.000000    6.35092911
    0.000000    0.307920    0.000000    1.37001569
    0.000000    0.317543    0.000000    0.00000000
    0.000000    0.327165    0.000000    0.00000000
    0.000000    0.336788    0.000000    0.00000000
    0.000000    0.346410    0.000000    0.00000000
    0.000000    0.356033    0.000000    0.00000000
    0.000000    0.365655    0.000000    0.00000000
    0.000000    0.375278    0.000000    0.00000000
    0.000000    0.384900    0.000000    0.00000000
    0.000000    0.394523    0.000000    0.00000000
    0.000000    0.404145    0.000000    0.00000000
    0.000000    0.413768    0.000000    0.00000000
    0.000000    0.423390    0.000000    0.00000000
    0.000000    0.433013    0.000000    0.00000000
    0.000000    0.442635    0.000000    0.00000000
    0.000000    0.452258    0.000000    0.00000000
    0.000000    0.461880    0.000000    0.00000000
    0.000000    0.471503    0.000000    0.00000000
    0.000000    0.481125    0.000000    0.00000000
    0.000000    0.490748    0.000000    0.00000000
    0.000000    0.500370    0.000000    0.00000000
    0.000000    0.509993    0.000000    0.00000000
    0.000000    0.519615    0.000000    0.00000000
    0.000000    0.529238    0.000000    0.00000000
    0.000000    0.538860    0.000000    0.38917393
    0.000000    0.548483    0.000000    0.54865069
    0.000000    0.558105    0.000000    0.73488413
    0.000000    0.567728    0.000000    0.84970517
    0.000000    0.577350    0.000000    0.89168857
    0.000000    0.586973    0.000000    0.84970517
    0.000000    0.596595    0.000000    0.73488413
    0.000000    0.606218    0.000000    0.54865069
    0.000000    0.615840    0.000000    0.38917393
    0.000000    0.625463    0.000000    0.00000000
    0.000000    0.635085    0.000000    0.00000000
    0.000000    0.644708    0.000000    0.00000000
    0.000000    0.654330    0.000000    0.00000000
    0.000000    0.663953    0.000000    0.00000000
    0.000000    0.673575    0.000000    0.00000000
    0.000000    0.683198    0.000000    0.00000000
    0.000000    0.692820    0.000000    0.00000000
    0.000000    0.702443    0.000000    0.00000000
    0.000000    0.712065    0.000000    0.00000000
    0.000000    0.721688    0.000000    0.00000000
    0.000000    0.731310    0.000000    0.00000000
    0.000000    0.740933    0.000000    0.00000000
    0.000000    0.750555    0.000000    0.00000000
    0.000000    0.760178    0.000000    0.00000000
    0.000000    0.769800    0.000000    0.00000000
    0.000000    0.779423    0.000000    0.00000000
    0.000000    0.789045    0.000000    0.00000000
    0.000000    0.798668    0.000000    0.00000000
    0.000000    0.808290    0.000000    0.00000000
    0.000000    0.817913    0.000000    0.00000000
    0.000000    0.827535    0.000000    0.00000000
    0.000000    0.837158    0.000000    0.00000000
